"X","Y","NAZWA","TEMP","OPAD"
18.919,49.996,"PSZCZYNA",9.7,1.1
18.871,49.753,"BRENNA",10,7.1
19.696,49.472,"JABŁONKA",7.6,0.7
19.789,49.237,"POLANA CHOCHOŁOWSKA",4.4,2.6
19.155,49.648,"RADZIECHOWY",9.5,3.6
20.495,49.965,"ŁAZY",10.5,0.8
20.896,49.786,"JASTRZĘBIA",9.7,2.1
20.418,49.694,"LIMANOWA",8.8,2.4
20.44,49.56,"ŁĄCKO",9.5,3.3
20.432,49.446,"KROŚCIENKO",8,1.8
20.316,49.418,"NIEDZICA",8.2,3.4
20.098,49.338,"BUKOWINA TATRZAŃSKA",6.4,0.7
20.048,49.214,"DOLINA PIĘCIU STAWÓW",0.7,1.8
20.723,49.425,"PIWNICZNA",8.8,2.8
20.035,49.33,"PORONIN",7.1,0.4
20.054,49.664,"MSZANA DOLNA",8.8,3.5
22.235,49.835,"DYNÓW",10.4,0.8
22.468,49.4,"SOLINA-JAWOR",8.5,5.4
22.063,49.339,"KOMAŃCZA",8.8,4.9
18.808,50.695,"DRONIOWICE",8.1,14.5
19.235,50.601,"LGOTA GÓRNA",8,8.6
19.958,50.064,"KRAKÓW-OBSERWATORIUM",10.6,1
20.787,50.278,"BORUSOWA",9.6,1.5
21.051,50.859,"ŚWIĘTY KRZYŻ",6.3,6.6
21.185,50.595,"STASZÓW",8.4,2.2
22.307,50.569,"JAROCIN",9,2.9
23.118,50.234,"CIESZANÓW",9.9,0.4
24.036,50.84,"STRZYŻÓW",8.9,0.8
15.997,51.714,"CEBER",9.4,18.2
16.038,51.872,"RADZYŃ",8.8,10.8
19.067,51.785,"PUCZNIEW",8.7,3.2
20.16,51.965,"SKIERNIEWICE",9.3,1.6
21.973,51.815,"JARCZEW",8.5,1.2
21.966,51.413,"PUŁAWY",9.2,0.9
15.895,52.569,"GORZYŃ",6.6,2.2
15.803,52.144,"BABIMOST",8.5,3
16.356,52.114,"WIELICHOWO",8.6,2.2
18.149,52.736,"KOŁUDA WIELKA",6.3,1.9
20.956,52.408,"LEGIONOWO",8.8,1.4
20.963,52.282,"WARSZAWA-BIELANY",9.2,0.9
20.999,52.219,"WARSZAWA-FILTRY",9.4,0.4
21.09,52.727,"PUŁTUSK",8.9,0.4
21.029,52.218,"WARSZAWA-OBSERWATORIUM II",9.2,0
22.546,52.849,"SZEPIETOWO",8.7,2.1
23.848,52.707,"BIAŁOWIEŻA",8.5,2
14.888,53.594,"GOLENIÓW",5.5,0
17.583,53.161,"CHRZĄSTOWO",6.6,0.2
22.578,53.651,"BIEBRZA-PIEŃCZYKÓWEK",6.9,10.8
22.106,53.212,"MARIANOWO II",7.4,4.5
23.401,53.635,"RÓŻANYSTOK",5.9,4.8
18.487,54.371,"GDAŃSK-RĘBIECHOWO",3.3,1.6
20.586,54.136,"LIDZBARK WARMIŃSKI",5.8,1.9
22.487,54.048,"OLECKO",5.7,6.6
